소스 파일,페이지 번호,추정 문제 번호,추출된 텍스트
2022.pdf,7,20,"20. 실수 전체의 집합에서 미분가능한 함수 가 다음 조건을 
만족시킨다.
(가) 닫힌구간 에서 이다.
(나) 어떤 상수 , 에 대하여 구간 ∞에서
이다.
×


의 값을 구하시오. [4점]
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,8,N/A,"8  
홀수형
8
20"
2022.pdf,8,21,"21. 수열 이 다음 조건을 만족시킨다.
(가) 
(나) 모든 자연수 에 대하여 이다.
(다) 



의 값을 구하시오. [4점]"
2022.pdf,8,22,"22. 최고차항의 계수가 
인 삼차함수 와 실수 에 대하여 
방정식 ′이 닫힌구간 에서 갖는 실근의 개수를 
라 할 때, 함수 는 다음 조건을 만족시킨다.
(가) 모든 실수 에 대하여 lim
→
lim
→
≤이다.
(나) , 
의 값을 구하시오. [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(확률과 통계)｣ 문제가 제시되오니, 자신이 
선택한 과목인지 확인하시오.
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(확률과 통계)｣ 문제가 제시되오니, 자신이 
선택한 과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,9,N/A,"홀수형
(확률과 통계)
3
9
20
5지선다형"
2022.pdf,9,23,"23. 다항식 의 전개식에서 의 계수는? [2점]
①
②
③
④
⑤"
2022.pdf,9,24,"24. 확률변수 가 이항분포 B
을 따르고 V일 때, 
의 값은? [3점]
①
②
③
④
⑤
2022학년도 대학수학능력시험 문제지
(확률과 통계)
제2 교시
1
홀수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,10,N/A,"2
(확률과 통계)
홀수형
10
20"
2022.pdf,10,25,"25. 다음 조건을 만족시키는 자연수 , , , , 의 모든 
순서쌍 의 개수는? [3점]
(가) 
(나) 
①
②
③
④
⑤"
2022.pdf,10,26,"26. 부터 까지 자연수가 하나씩 적혀 있는 장의 카드가 
들어 있는 주머니가 있다. 이 주머니에서 임의로 카드 장을 
동시에 꺼낼 때, 꺼낸 카드에 적혀 있는 세 자연수 중에서 
가장 작은 수가  이하이거나  이상일 확률은? [3점]
①

②

③


④


⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,11,N/A,"홀수형
(확률과 통계)
3
11
20"
2022.pdf,11,27,"27. 어느 자동차 회사에서 생산하는 전기 자동차의 
회 충전 주행 거리는 평균이 이고 표준편차가 인 
정규분포를 따른다고 한다.
이 자동차 회사에서 생산한 전기 자동차 대를 임의추출하여 
얻은 회 충전 주행 거리의 표본평균이 
일 때, 모평균 에 
대한 신뢰도 %의 신뢰구간이 ≤≤이다. 
이 자동차 회사에서 생산한 전기 자동차 대를 임의추출하여 
얻은 회 충전 주행 거리의 표본평균이 
일 때, 모평균 에 
대한 신뢰도 %의 신뢰구간이 ≤≤이다. 


이고 일 때, 의 값은? (단, 주행 거리의 
단위는 km이고, 가 표준정규분포를 따르는 확률변수일 때 
P≤, P≤로 계산한다.) [3점]
①
②
③
④
⑤"
2022.pdf,11,28,"28. 두 집합 , 에 대하여 
다음 조건을 만족시키는 에서 로의 함수 의 개수는? [4점]
(가) 집합 의 모든 원소 에 대하여 ≥이다.
(나) 함수 의 치역의 원소의 개수는 이다.
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,12,N/A,"4
(확률과 통계)
홀수형
12
20
단답형"
2022.pdf,12,29,"29. 두 연속확률변수 와 가 갖는 값의 범위는 ≤≤, 
≤≤이고, 와 의 확률밀도함수는 각각 , 이다. 
확률변수 의 확률밀도함수 의 그래프는 그림과 같다.
≤≤인 모든 에 대하여
(는 상수)
를 만족시킬 때, P≤≤
이다. 의 값을 
구하시오. (단, 와 는 서로소인 자연수이다.) [4점]"
2022.pdf,12,30,"30. 흰 공과 검은 공이 각각 개 이상 들어 있는 바구니와 
비어 있는 주머니가 있다. 한 개의 주사위를 사용하여 다음 
시행을 한다.
주사위를 한 번 던져 
나온 눈의 수가  이상이면 
바구니에 있는 흰 공 개를 주머니에 넣고,
나온 눈의 수가  이하이면 
바구니에 있는 검은 공 개를 주머니에 넣는다.
위의 시행을 번 반복할 때, ( ≤≤)번째 시행 후 
주머니에 들어 있는 흰 공과 검은 공의 개수를 각각 , 이라 
하자. ≥일 때, 인 자연수 ( ≤≤)가 
존재할 확률은 
이다. 의 값을 구하시오. 
(단, 와 는 서로소인 자연수이다.) [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(미적분)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,13,N/A,"홀수형
(미적분)
3
13
20
5지선다형"
2022.pdf,13,23,"23. lim
→∞








의 값은? [2점]
①
②
③
④
⑤"
2022.pdf,13,24,"24. 실수 전체의 집합에서 미분가능한 함수 가 모든 실수 
에 대하여 

을 만족시킬 때, ′의 값은? [3점]
①
② 

③

④

⑤

2022학년도 대학수학능력시험 문제지
(미적분)
제2 교시
1
홀수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,14,N/A,"2
(미적분)
홀수형
14
20"
2022.pdf,14,25,"25. 등비수열 에 대하여


∞
, 

∞


일 때, 

∞
의 값은? [3점]
①
②
③
④
⑤"
2022.pdf,14,26,"26. lim
→∞




의 값은? [3점]
①ln
②

ln
③

ln
④

ln
⑤

ln
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,15,N/A,"홀수형
(미적분)
3
15
20"
2022.pdf,15,27,"27. 좌표평면 위를 움직이는 점 P 의 시각 ( )에서의 위치가 
곡선 과 직선 

ln가 만나는 서로 다른 두 점의 
중점일 때, 시각 에서 까지 점 P 가 움직인 거리는? 
[3점]
①




②





③




④





⑤



"
2022.pdf,15,28,"28. 함수 에 대하여 함수 를 
cos
라 하자. 에서 함수 가 극소가 되는 의 개수는? 
[4점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,16,N/A,"4
(미적분)
홀수형
16
20
단답형"
2022.pdf,16,29,"29. 그림과 같이 길이가 인 선분 AB를 지름으로 하는 반원이 
있다. 호 AB 위에 두 점 P, Q를 ∠PAB , ∠QBA 가 
되도록 잡고, 두 선분 AP, BQ의 교점을 R라 하자.
선분 AB 위의 점 S , 선분 BR 위의 점 T , 선분 AR 위의 점 U 를 
선분 UT 가 선분 AB에 평행하고 삼각형 STU 가 정삼각형이 
되도록 잡는다. 두 선분 AR, QR와 호 AQ로 둘러싸인 부분의 
넓이를 , 삼각형 STU 의 넓이를 라 할 때, 
lim
→
×


이다. 의 값을 구하시오. 
(단, 
이고, 와 는 서로소인 자연수이다.) [4점]"
2022.pdf,16,30,"30. 실수 전체의 집합에서 증가하고 미분가능한 함수 가 
다음 조건을 만족시킨다. 
(가) , 




(나) 함수 의 역함수를 라 할 때, 
≥인 모든 실수 에 대하여 이다. 



′
일 때, 의 값을 구하시오. 
(단, 와 는 서로소인 자연수이다.) [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(기하)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,17,N/A,"홀수형
(기하)
3
17
20
5지선다형"
2022.pdf,17,23,"23. 좌표공간의 점 A을 평면에 대하여 대칭이동한 
점을 P 라 하고, 점 A 를 평면에 대하여 대칭이동한 점을 
Q라 할 때, 선분 PQ의 길이는? [2점]
①
②

③
④

⑤
"
2022.pdf,17,24,"24. 한 초점의 좌표가 인 쌍곡선 





의 
주축의 길이는? (단, 는 양수이다.) [3점]
①
②


③
④


⑤
2022학년도 대학수학능력시험 문제지
(기하)
제2 교시
1
홀수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,18,N/A,"2
(기하)
홀수형
18
20"
2022.pdf,18,25,"25. 좌표평면에서 두 직선 


,



가 이루는 예각의 크기를 라 할 때, cos의 값은? [3점]
①

②


③


④


⑤

"
2022.pdf,18,26,"26. 두 초점이 F , F′ 인 타원 





 위의 점 중 
제사분면에 있는 점 A 가 있다. 두 직선 AF , AF′ 에 동시에 
접하고 중심이 축 위에 있는 원 중 중심의 좌표가 음수인 
것을 라 하자. 원 의 중심을 B라 할 때 사각형 AFBF′ 의 
넓이가 이다. 원 의 반지름의 길이는? [3점]
①


②
③


④
⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,19,N/A,"홀수형
(기하)
3
19
20"
2022.pdf,19,27,"27. 그림과 같이 한 모서리의 길이가 인 정육면체 ABCD- EFGH 가 
있다. 선분 AD의 중점을 M이라 할 때, 삼각형 MEG의 넓이는? 
[3점]
①


②
③


④
⑤

"
2022.pdf,19,28,"28. 두 양수 , 에 대하여 포물선 의 초점을 
F이라 하고, 포물선 의 초점을 F라 하자. 
선분 FF가 두 포물선과 만나는 점을 각각 P , Q라 할 때, 

FF, 
PQ 이다. 의 값은? [4점]
①
②


③


④


⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,20,N/A,"4
(기하)
홀수형
20
20
단답형"
2022.pdf,20,29,"29. 좌표평면에서 
OA , 
OB 이고 
cos∠AOB
인 평행사변형 OACB에 대하여 점 P 가 다음 
조건을 만족시킨다.
(가) 
OP 
OA 
OB (≤≤, ≤≤)
(나) 
OP ⋅
OB 
BP ⋅
BC 
점 O를 중심으로 하고 점 A 를 지나는 원 위를 움직이는 점 X에 
대하여 
OP 
OX 의 최댓값과 최솟값을 각각 , 이라 
하자. ×일 때, 의 값을 구하시오. 
(단, 와 는 유리수이다.) [4점]"
2022.pdf,20,30,"30. 좌표공간에 중심이 C이고 점 P을 
지나는 구

가 있다. 구 가 평면 OPC와 만나서 생기는 원 위를 움직이는 
점 Q, 구  위를 움직이는 점 R에 대하여 두 점 Q, R의 평면 
위로의 정사영을 각각 Q, R이라 하자. 
삼각형 OQR의 넓이가 최대가 되도록 하는 두 점 Q, R에 
대하여 삼각형 OQR의 평면 PQR 위로의 정사영의 넓이는 

이다. 의 값을 구하시오. 
(단, O는 원점이고 세 점 O, Q, R은 한 직선 위에 있지 
않으며, 와 는 서로소인 자연수이다.) [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,21,N/A,"짝수형
1
1
20
5지선다형"
2022.pdf,21,1,"1. × 
의 값은? [2점]
①

②

③
④
⑤"
2022.pdf,21,2,"2. 함수 에 대하여 ′의 값은? [2점]
①
②
③
④
⑤"
2022.pdf,21,3,"3. 등차수열 에 대하여
,

일 때, 의 값은? [3점]
①
②
③
④
⑤"
2022.pdf,21,4,"4. 함수 의 그래프가 그림과 같다.
lim
→
lim
→
의 값은? [3점]
①
②
③
④
⑤
2022학년도 대학수학능력시험 문제지
제2 교시
1
짝수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,22,N/A,"2  
짝수형
2
20"
2022.pdf,22,5,"5. 첫째항이 인 수열 이 모든 자연수 에 대하여 









≥
일 때, 


의 값은? [3점]
①
②
③
④
⑤ "
2022.pdf,22,6,"6. 방정식 이 서로 다른 세 실근을 갖도록 
하는 정수 의 개수는? [3점]
①
②
③
④
⑤"
2022.pdf,22,7,"7. 
인 에 대하여 tan
tan

일 때, 
sincos의 값은? [3점]
①



②



③
④



⑤



이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,23,N/A,"짝수형
3
3
20"
2022.pdf,23,8,"8. 곡선 와 직선 로 둘러싸인 부분의 넓이를 
직선 가 이등분할 때, 상수 의 값은? [3점]
①
②


③

④


⑤"
2022.pdf,23,9,"9. 직선 가 두 함수 



,




 
의 그래프와 만나는 점을 각각 P , Q라 하자. 
PQ 일 때, 
상수 의 값은? [4점]
①


②


③


④


⑤

"
2022.pdf,23,10,"10. 삼차함수 에 대하여 곡선  위의 점 에서의 
접선과 곡선  위의 점 에서의 접선이 일치할 때, 
′의 값은? [4점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,24,N/A,"4  
짝수형
4
20"
2022.pdf,24,11,"11. 양수 에 대하여 집합 
≤≠
에서 
정의된 함수
tan


가 있다. 그림과 같이 함수 의 그래프 위의 
세 점 O, A , B를 지나는 직선이 있다. 점 A 를 지나고 축에 
평행한 직선이 함수 의 그래프와 만나는 점 중 A 가 
아닌 점을 C라 하자. 삼각형 ABC가 정삼각형일 때, 
삼각형 ABC의 넓이는? (단, O는 원점이다.) [4점]
①


②


③


④


⑤

"
2022.pdf,24,12,"12. 실수 전체의 집합에서 연속인 함수 가 모든 실수 에 
대하여

을 만족시킨다. 함수 의 최댓값이 이고 최솟값이 일 때, 


의 값은? [4점]
①

②
③

④
⑤

이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,25,N/A,"짝수형
5
5
20"
2022.pdf,25,13,"13. 두 상수 , ( )에 대하여 좌표평면 위의
두 점 log, log를 지나는 직선의 절편과 
두 점 log, log를 지나는 직선의 절편이 같다.
함수 에 대하여 일 때, 의 값은? 
[4점]
①
②
③
④
⑤"
2022.pdf,25,14,"14. 수직선 위를 움직이는 점 P 의 시각 에서의 위치 가 
두 상수 , 에 대하여
( ≠)
이다. 점 P 의 시각 에서의 속도 가 


를 
만족시킬 때, <보기>에서 옳은 것만을 있는 대로 고른 것은? 
[4점]
<보 기>
ㄱ. 



ㄴ. 인 이 열린구간 에 존재한다.
ㄷ. ≤≤인 모든 에 대하여 이면 
인 가 열린구간 에 존재한다. 
①ㄱ
②ㄱ, ㄴ
③ㄱ, ㄷ
④ㄴ, ㄷ
⑤ㄱ, ㄴ, ㄷ
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,26,N/A,"6  
짝수형
6
20"
2022.pdf,26,15,"15. 두 점 O, O를 각각 중심으로 하고 반지름의 길이가 
OO인 
두 원 , 가 있다. 그림과 같이 원  위의 서로 다른 세 점 
A , B, C와 원  위의 점 D가 주어져 있고, 세 점 A , O, O와 
세 점 C, O, D가 각각 한 직선 위에 있다. 
이때 ∠BOA , ∠OOC , ∠OOD 이라 하자.
다음은 
AB 
OD 이고 일 때, 선분 AB와 
선분 CD의 길이의 비를 구하는 과정이다. 
∠COO∠OOD 이므로 


이고 
에서 이므로 ∠COB 이다.
이때 ∠OOB 이므로 삼각형 OOB와 
삼각형 OOD는 합동이다. 

AB 라 할 때

BO
OD 이므로 
AO(가) 이고,
∠BOA 

이므로 cos

(나) 이다.
삼각형 OBC에서 

BC , 
BO, ∠COB 
이므로 
코사인법칙에 의하여 
OC (다) 이다.

CD 
OD
OC 
OO
OC 이므로 

AB 
CD 

가

다이다.
(가)

(다)

위의 (가), (다)에 알맞은 식을 각각 , 라 하고, 
(나)에 알맞은 수를 라 할 때, ×의 값은? [4점]
①


②


③


④


⑤


단답형"
2022.pdf,26,16,"16. log
log

의 값을 구하시오. [3점]"
2022.pdf,26,17,"17. 함수 에 대하여 ′이고 일 때, 
의 값을 구하시오. [3점]
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,27,N/A,"짝수형
7
7
20"
2022.pdf,27,18,"18. 수열 에 대하여








, 






일 때, 의 값을 구하시오. [3점]"
2022.pdf,27,19,"19. 함수 이 실수 전체의 집합에서 
증가하도록 하는 실수 의 최댓값을 구하시오. [3점]"
2022.pdf,27,20,"20. 실수 전체의 집합에서 미분가능한 함수 가 다음 조건을 
만족시킨다.
(가) 닫힌구간 에서 이다.
(나) 어떤 상수 , 에 대하여 구간 ∞에서
이다.
×


의 값을 구하시오. [4점]
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,28,N/A,"8  
짝수형
8
20"
2022.pdf,28,21,"21. 수열 이 다음 조건을 만족시킨다.
(가) 
(나) 모든 자연수 에 대하여 이다.
(다) 



의 값을 구하시오. [4점]"
2022.pdf,28,22,"22. 최고차항의 계수가 
인 삼차함수 와 실수 에 대하여 
방정식 ′이 닫힌구간 에서 갖는 실근의 개수를 
라 할 때, 함수 는 다음 조건을 만족시킨다.
(가) 모든 실수 에 대하여 lim
→
lim
→
≤이다.
(나) , 
의 값을 구하시오. [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(확률과 통계)｣ 문제가 제시되오니, 자신이 
선택한 과목인지 확인하시오.
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(확률과 통계)｣ 문제가 제시되오니, 자신이 
선택한 과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,29,N/A,"짝수형
(확률과 통계)
3
9
20
5지선다형"
2022.pdf,29,23,"23. 다항식 의 전개식에서 의 계수는? [2점]
①
②
③
④
⑤"
2022.pdf,29,24,"24. 확률변수 가 이항분포 B
을 따르고 V일 때, 
의 값은? [3점]
①
②
③
④
⑤
2022학년도 대학수학능력시험 문제지
(확률과 통계)
제2 교시
1
짝수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,30,N/A,"2
(확률과 통계)
짝수형
10
20"
2022.pdf,30,25,"25. 다음 조건을 만족시키는 자연수 , , , , 의 모든 
순서쌍 의 개수는? [3점]
(가) 
(나) 
①
②
③
④
⑤"
2022.pdf,30,26,"26. 부터 까지 자연수가 하나씩 적혀 있는 장의 카드가 
들어 있는 주머니가 있다. 이 주머니에서 임의로 카드 장을 
동시에 꺼낼 때, 꺼낸 카드에 적혀 있는 세 자연수 중에서 
가장 작은 수가  이하이거나  이상일 확률은? [3점]
①

②

③


④


⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,31,N/A,"짝수형
(확률과 통계)
3
11
20"
2022.pdf,31,27,"27. 어느 자동차 회사에서 생산하는 전기 자동차의 
회 충전 주행 거리는 평균이 이고 표준편차가 인 
정규분포를 따른다고 한다.
이 자동차 회사에서 생산한 전기 자동차 대를 임의추출하여 
얻은 회 충전 주행 거리의 표본평균이 
일 때, 모평균 에 
대한 신뢰도 %의 신뢰구간이 ≤≤이다. 
이 자동차 회사에서 생산한 전기 자동차 대를 임의추출하여 
얻은 회 충전 주행 거리의 표본평균이 
일 때, 모평균 에 
대한 신뢰도 %의 신뢰구간이 ≤≤이다. 


이고 일 때, 의 값은? (단, 주행 거리의 
단위는 km이고, 가 표준정규분포를 따르는 확률변수일 때 
P≤, P≤로 계산한다.) [3점]
①
②
③
④
⑤"
2022.pdf,31,28,"28. 두 집합 , 에 대하여 
다음 조건을 만족시키는 에서 로의 함수 의 개수는? [4점]
(가) 집합 의 모든 원소 에 대하여 ≥이다.
(나) 함수 의 치역의 원소의 개수는 이다.
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,32,N/A,"4
(확률과 통계)
짝수형
12
20
단답형"
2022.pdf,32,29,"29. 두 연속확률변수 와 가 갖는 값의 범위는 ≤≤, 
≤≤이고, 와 의 확률밀도함수는 각각 , 이다. 
확률변수 의 확률밀도함수 의 그래프는 그림과 같다.
≤≤인 모든 에 대하여
(는 상수)
를 만족시킬 때, P≤≤
이다. 의 값을 
구하시오. (단, 와 는 서로소인 자연수이다.) [4점]"
2022.pdf,32,30,"30. 흰 공과 검은 공이 각각 개 이상 들어 있는 바구니와 
비어 있는 주머니가 있다. 한 개의 주사위를 사용하여 다음 
시행을 한다.
주사위를 한 번 던져 
나온 눈의 수가  이상이면 
바구니에 있는 흰 공 개를 주머니에 넣고,
나온 눈의 수가  이하이면 
바구니에 있는 검은 공 개를 주머니에 넣는다.
위의 시행을 번 반복할 때, ( ≤≤)번째 시행 후 
주머니에 들어 있는 흰 공과 검은 공의 개수를 각각 , 이라 
하자. ≥일 때, 인 자연수 ( ≤≤)가 
존재할 확률은 
이다. 의 값을 구하시오. 
(단, 와 는 서로소인 자연수이다.) [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(미적분)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,33,N/A,"짝수형
(미적분)
3
13
20
5지선다형"
2022.pdf,33,23,"23. lim
→∞








의 값은? [2점]
①
②
③
④
⑤"
2022.pdf,33,24,"24. 실수 전체의 집합에서 미분가능한 함수 가 모든 실수 
에 대하여 

을 만족시킬 때, ′의 값은? [3점]
①
② 

③

④

⑤

2022학년도 대학수학능력시험 문제지
(미적분)
제2 교시
1
짝수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,34,N/A,"2
(미적분)
짝수형
14
20"
2022.pdf,34,25,"25. 등비수열 에 대하여


∞
, 

∞


일 때, 

∞
의 값은? [3점]
①
②
③
④
⑤"
2022.pdf,34,26,"26. lim
→∞




의 값은? [3점]
①ln
②

ln
③

ln
④

ln
⑤

ln
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,35,N/A,"짝수형
(미적분)
3
15
20"
2022.pdf,35,27,"27. 좌표평면 위를 움직이는 점 P 의 시각 ( )에서의 위치가 
곡선 과 직선 

ln가 만나는 서로 다른 두 점의 
중점일 때, 시각 에서 까지 점 P 가 움직인 거리는? 
[3점]
①




②





③




④





⑤



"
2022.pdf,35,28,"28. 함수 에 대하여 함수 를 
cos
라 하자. 에서 함수 가 극소가 되는 의 개수는? 
[4점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,36,N/A,"4
(미적분)
짝수형
16
20
단답형"
